company,symbol,name_glassdoor,review_id,review_rating_all,review_rating_worklife,review_rating_culture,review_rating_career,review_rating_diversity,review_rating_comp,review_rating_senior,employee_info,review_title,review_info,pros,cons,advice,total_reviews,url
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,61912641,5,0,0,0,0,0,0,Current Employee,Great company,"Mar 28, 2022 - Operations Analyst in New York, NY",flexible work environment with managers that really want you to succeed,none that i can think of,,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63461669,5,0,0,0,0,0,0,Current Employee,Great Company,"Apr 29, 2022 - BNY Mellon in South Houston, TX",Great Pay and great company,Training could be better for company,,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63461963,5,5,5,5,5,5,5,"Current Employee, less than 1 year",Super B,"Apr 29, 2022 - Software Engineer in New York, NY",I like to work for Google ofc,Sometimes it is too good,"All seems great here, no suggestions",2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63445031,4,3,3,3,5,4,2,"Current Employee, more than 1 year",Good place to work,"Apr 29, 2022 - Associate ",Flexible with the needs of the employee and very amicable.,Lack of communication and growth opportunities,,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63306765,4,4,4,4,4,3,3,Current Employee,Actual work is really good and keeps you busy,"Apr 26, 2022 - Selenium Automation Test Engineer ",Work is really good but very pressuring . Not much work life balance very hectic schedule. Need to work until 2 am on Saturday because of release. Do not keep resources for amount of work give,Very very hectic work schedule,,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63212197,4,0,0,0,0,0,0,Current Employee,Good company good people good benefits,"Apr 24, 2022 - Operations Analyst ","Really nice people, good 401k plan, nice work life balance",Compensation is below industry average,Keep it up overall,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63179771,5,5,4,5,5,4,4,Current Employee,Great company,"Apr 23, 2022 - Senior Manager in Boston, MA",Career advancement. Great mentors and culture of teamworks.,Can be repetitive and sales driven.,Pay attention to top performers and encourage them to take in new challenges.,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63144099,5,4,5,5,4,2,4,Current Employee,Good,"Apr 22, 2022 - Data Entry ",Bank of New York Mellon best corporation.,Very like work at bank of New York Mellon.,,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,62979569,4,2,3,3,4,2,3,"Former Employee, more than 1 year","Great place to start, but if you care about your career, don't get comfy here","Apr 19, 2022 - OTC Derivatives Specialist in Orlando, FL","Great role to break your way into the world of finance. It is definitely what you make of it. You could use your time just to go through the motions, or you can use your time to sharpen other skills alongside and try to actively learn and network.",The work can become very algorithmic and just button pushing when you get used to it. Pay is not worth the amount of work done. Work-life balance is terrible and there was no sign that there was going to be improvement.,"There is a severe need for automation. In addition, the tools and time to create them are difficult to get.  Position needs less finance majors, more people with programming skills. More pay as well.",2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,62965500,5,4,4,4,4,4,4,"Current Employee, more than 10 years",Good place to work,"Apr 19, 2022 - Senior Business Intelligence Analyst in Pittsburgh, PA","remote, flexible hours, good pay and benefits, not expected to work grueling hours and overtime",at times can become monotonous like any job,,2,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm?filter.iso3Language=eng
